epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.586,1.10439,3.06259,1.34516,0.63269,0.83961,0.75792,0.63529,0.64216,1.09139,1.0091,0.000255238,0.000255238,0.000255238
2,325.17,0.89233,1.75949,1.16287,0.8624,0.74956,0.89922,0.78331,0.5753,0.90527,0.9701,0.000486248,0.000486248,0.000486248
3,485.733,0.87724,1.36572,1.15697,0.8839,0.88907,0.9567,0.84017,0.53206,0.68167,0.9566,0.000691882,0.000691882,0.000691882
4,645.281,0.83652,1.06958,1.12744,0.8275,0.81435,0.944,0.83176,0.53445,0.70945,0.94045,0.000654804,0.000654804,0.000654804
5,804.738,0.767,0.90533,1.0905,0.93803,0.94593,0.97477,0.8746,0.49171,0.4766,0.9315,0.000616738,0.000616738,0.000616738
6,965.581,0.72397,0.80283,1.0722,0.92238,0.93483,0.97327,0.87972,0.47219,0.51832,0.91201,0.000578672,0.000578672,0.000578672
7,1126.12,0.69939,0.75213,1.05841,0.92723,0.95052,0.96481,0.86369,0.48542,0.42595,0.93144,0.000540607,0.000540607,0.000540607
8,1286.57,0.66818,0.68186,1.04082,0.94864,0.94768,0.98305,0.8963,0.43778,0.4229,0.90006,0.000502541,0.000502541,0.000502541
9,1451.78,0.66154,0.64937,1.03822,0.91399,0.9149,0.97064,0.89806,0.41606,0.42037,0.89375,0.000464476,0.000464476,0.000464476
10,1615.28,0.62376,0.61317,1.01989,0.9568,0.96169,0.98479,0.90236,0.42794,0.34487,0.90044,0.000426411,0.000426411,0.000426411
11,1767.54,0.52611,0.41701,0.99633,0.95732,0.97466,0.9873,0.9126,0.40721,0.31811,0.88286,0.000388345,0.000388345,0.000388345
12,1918.96,0.48579,0.38267,0.96341,0.94968,0.9627,0.98178,0.91639,0.3993,0.33683,0.87898,0.00035028,0.00035028,0.00035028
13,2070.67,0.4667,0.35926,0.94752,0.96894,0.96042,0.98756,0.9248,0.38015,0.29956,0.87208,0.000312214,0.000312214,0.000312214
14,2229.79,0.44282,0.3269,0.93269,0.96878,0.9806,0.98976,0.92502,0.39041,0.29378,0.87628,0.000274148,0.000274148,0.000274148
15,2396.24,0.43088,0.30937,0.92365,0.96151,0.96893,0.98325,0.91792,0.37896,0.29471,0.8713,0.000236083,0.000236083,0.000236083
16,2564.22,0.41325,0.29418,0.91353,0.9639,0.97846,0.98756,0.91937,0.39686,0.27874,0.87622,0.000198018,0.000198018,0.000198018
17,2731.11,0.40042,0.27608,0.90739,0.97386,0.96355,0.989,0.93957,0.35362,0.2646,0.86448,0.000159952,0.000159952,0.000159952
18,2898.22,0.37999,0.26474,0.89483,0.97167,0.97666,0.99167,0.94255,0.34991,0.25003,0.86152,0.000121887,0.000121887,0.000121887
19,3065.15,0.36528,0.24492,0.88056,0.97877,0.97712,0.98937,0.94352,0.35067,0.25078,0.85739,8.3821e-05,8.3821e-05,8.3821e-05
20,3231.88,0.35784,0.23778,0.88166,0.96094,0.97885,0.98996,0.94363,0.34254,0.24828,0.85633,4.57555e-05,4.57555e-05,4.57555e-05
